Gene,Non-unique Gene name,Annotation,Number_pos_present_in,Number_neg_present_in,Number_pos_not_present_in,Number_neg_not_present_in,Sensitivity,Specificity,Odds_ratio,Naive_p,Bonferroni_p,Benjamini_H_p,Max_Pairwise_comparisons,Max_supporting_pairs,Max_opposing_pairs,Best_pairwise_comp_p,Worst_pairwise_comp_p
group_11871,,hypothetical protein,0,13,149,115,0,89.84375,0,3.10E-05,0.432578296,0.001194968,8,0,8,0.0078125,0.0078125
group_2082,ilvX,Putative acetolactate synthase large subunit IlvX,0,13,149,115,0,89.84375,0,3.10E-05,0.432578296,0.001194968,8,0,8,0.0078125,0.0078125
group_5570,,hypothetical protein,0,13,149,115,0,89.84375,0,3.10E-05,0.432578296,0.001194968,5,0,5,0.0625,0.0625
devS,,Oxygen sensor histidine kinase response regulator DevS/DosS,147,110,2,18,98.65771812,14.0625,12.02727273,3.36E-05,0.467939013,0.001278522,10,10,2,0.001953125,0.109375
group_1403,mdtD_2,Putative multidrug resistance protein MdtD,2,18,147,110,1.342281879,85.9375,0.083144369,3.36E-05,0.467939013,0.001278522,10,2,9,0.021484375,0.109375
group_4119,,hypothetical protein,2,18,147,110,1.342281879,85.9375,0.083144369,3.36E-05,0.467939013,0.001278522,10,2,10,0.001953125,0.109375
group_486,,hypothetical protein,2,18,147,110,1.342281879,85.9375,0.083144369,3.36E-05,0.467939013,0.001278522,12,2,11,0.006347656,0.038574219
group_187,,hypothetical protein,89,106,60,22,59.73154362,17.1875,0.307861635,3.64E-05,0.507554312,0.001382982,9,6,5,0.5078125,1
group_1594,,hypothetical protein,3,20,146,108,2.013422819,84.375,0.110958904,3.82E-05,0.532729691,0.001443712,10,2,9,0.021484375,0.109375
rpfA,,hypothetical protein,3,20,146,108,2.013422819,84.375,0.110958904,3.82E-05,0.532729691,0.001443712,8,3,7,0.0703125,0.7265625
group_216,,hypothetical protein,14,37,135,91,9.395973154,71.09375,0.255055055,3.93E-05,0.548266958,0.001481803,12,3,11,0.006347656,0.145996094
group_13752,,hypothetical protein,62,85,87,43,41.61073826,33.59375,0.360513861,4.04E-05,0.562921771,0.001517309,10,6,6,0.75390625,0.75390625
group_746,,Putative diacyglycerol O-acyltransferase,148,112,1,16,99.32885906,12.5,21.14285714,4.25E-05,0.592401653,0.001583962,11,10,1,0.01171875,0.01171875
group_3960,,hypothetical protein,1,16,148,112,0.67114094,87.5,0.047297297,4.25E-05,0.592401653,0.001583962,10,1,9,0.021484375,0.021484375
group_942,,hypothetical protein,1,16,148,112,0.67114094,87.5,0.047297297,4.25E-05,0.592401653,0.001583962,10,1,10,0.001953125,0.021484375
group_11344,,DegV domain-containing protein,86,43,63,85,57.71812081,66.40625,2.698412698,6.65E-05,0.926105474,0.002463046,11,5,8,0.2265625,1
group_3874,,hypothetical protein,63,85,86,43,42.28187919,33.59375,0.370588235,6.65E-05,0.926105474,0.002463046,10,7,5,0.34375,1
group_886,dnaN,Beta sliding clamp,31,6,118,122,20.80536913,95.3125,5.34180791,6.75E-05,0.94117594,0.002496488,8,6,3,0.2890625,0.7265625
mdtD_2,,Putative multidrug resistance protein MdtD,147,111,2,17,98.65771812,13.28125,11.25675676,7.03E-05,0.980243782,0.002546953,10,9,2,0.021484375,0.109375
group_772,,hypothetical protein,147,111,2,17,98.65771812,13.28125,11.25675676,7.03E-05,0.980243782,0.002546953,8,7,2,0.0703125,0.2890625
group_3889,,hypothetical protein,15,0,134,128,10.06711409,100,inf,7.07E-05,0.984895423,0.002546953,2,2,0,0.5,0.5
group_10699,,hypothetical protein,149,116,0,12,100,9.375,inf,7.09E-05,0.988217658,0.002546953,5,5,0,0.0625,0.0625
group_1143,,hypothetical protein,0,12,149,116,0,90.625,0,7.09E-05,0.988217658,0.002546953,8,0,8,0.0078125,0.0078125
group_3091,,hypothetical protein,0,12,149,116,0,90.625,0,7.09E-05,0.988217658,0.002546953,7,0,7,0.015625,0.015625
group_3869,,tRNA-Ala(ggc),0,12,149,116,0,90.625,0,7.09E-05,0.988217658,0.002546953,8,0,8,0.0078125,0.0078125
group_3925,,hypothetical protein,0,12,149,116,0,90.625,0,7.09E-05,0.988217658,0.002546953,6,0,6,0.03125,0.03125
group_4006,,hypothetical protein,0,12,149,116,0,90.625,0,7.09E-05,0.988217658,0.002546953,6,0,6,0.03125,0.03125
group_6012,,hypothetical protein,0,12,149,116,0,90.625,0,7.09E-05,0.988217658,0.002546953,5,0,5,0.0625,0.0625
group_790,,PPE family protein PPE34,0,12,149,116,0,90.625,0,7.09E-05,0.988217658,0.002546953,8,0,8,0.0078125,0.0078125
group_23,,hypothetical protein,19,1,130,127,12.75167785,99.21875,18.56153846,7.66E-05,1,0.002744804,2,1,1,1,1
group_352,,hypothetical protein,50,17,99,111,33.55704698,86.71875,3.297682709,7.73E-05,1,0.002750069,10,7,4,0.34375,0.75390625
group_891,,hypothetical protein,146,109,3,19,97.98657718,14.84375,8.483180428,7.74E-05,1,0.002750069,8,7,3,0.0703125,0.7265625
group_1990,,hypothetical protein,3,19,146,109,2.013422819,85.15625,0.117880317,7.74E-05,1,0.002750069,10,3,7,0.34375,0.34375
group_603,,hypothetical protein,4,21,145,107,2.684563758,83.59375,0.140558292,7.97E-05,1,0.00282448,9,1,9,0.00390625,0.0390625
group_4073,,hypothetical protein,1,15,148,113,0.67114094,88.28125,0.050900901,8.90E-05,1,0.003148199,8,1,7,0.0703125,0.0703125
group_1072,,hypothetical protein,16,38,133,90,10.73825503,70.3125,0.284922833,0.00011374,1,0.004012567,10,2,9,0.021484375,0.109375
group_12847,,hypothetical protein,62,83,87,45,41.61073826,35.15625,0.386373079,0.000117979,1,0.004099844,12,9,4,0.145996094,0.387695313
group_13271,,tRNA-Asn(gtt),62,83,87,45,41.61073826,35.15625,0.386373079,0.000117979,1,0.004099844,12,9,4,0.145996094,0.387695313
dnaG,,DNA primase,62,83,87,45,41.61073826,35.15625,0.386373079,0.000117979,1,0.004099844,12,9,4,0.145996094,0.387695313
dgt,,Deoxyguanosinetriphosphate triphosphohydrolase-like protein,62,83,87,45,41.61073826,35.15625,0.386373079,0.000117979,1,0.004099844,12,9,4,0.145996094,0.387695313
group_16606,,hypothetical protein,62,83,87,45,41.61073826,35.15625,0.386373079,0.000117979,1,0.004099844,12,9,4,0.145996094,0.387695313
group_2303,,hypothetical protein,62,83,87,45,41.61073826,35.15625,0.386373079,0.000117979,1,0.004099844,12,9,4,0.145996094,0.387695313
group_25,,hypothetical protein,14,0,135,128,9.395973154,100,inf,0.000139794,1,0.004821867,2,2,0,0.5,0.5
group_257,,hypothetical protein,14,0,135,128,9.395973154,100,inf,0.000139794,1,0.004821867,1,1,0,1,1
group_366,,hypothetical protein,14,0,135,128,9.395973154,100,inf,0.000139794,1,0.004821867,1,1,0,1,1
group_11473,,putative protein,147,112,2,16,98.65771812,12.5,10.5,0.000145921,1,0.004996075,11,10,2,0.01171875,0.065429687
group_3116,,hypothetical protein,2,16,147,112,1.342281879,87.5,0.095238095,0.000145921,1,0.004996075,8,2,6,0.2890625,0.2890625
group_3949,,hypothetical protein,2,16,147,112,1.342281879,87.5,0.095238095,0.000145921,1,0.004996075,9,2,7,0.1796875,0.1796875
group_1602,,hypothetical protein,5,22,144,106,3.355704698,82.8125,0.16729798,0.000149284,1,0.005086236,9,1,9,0.00390625,0.0390625
group_193,,hypothetical protein,5,22,144,106,3.355704698,82.8125,0.16729798,0.000149284,1,0.005086236,10,4,8,0.109375,0.75390625
group_498,,Long-chain-fatty-acid--CoA/3-oxocholest-4-en-26-oate--CoA ligase,101,57,48,71,67.7852349,55.46875,2.620979532,0.000150341,1,0.005109748,11,7,8,0.2265625,0.548828125
group_709,,hypothetical protein,18,1,131,127,12.08053691,99.21875,17.45038168,0.000150875,1,0.00511544,3,2,1,1,1
group_154,bioD,hypothetical protein,3,18,146,110,2.013422819,85.9375,0.125570776,0.000155013,1,0.005230272,12,2,11,0.006347656,0.038574219
group_750,,hypothetical protein,3,18,146,110,2.013422819,85.9375,0.125570776,0.000155013,1,0.005230272,10,3,8,0.109375,0.34375
group_1142,,hypothetical protein,149,117,0,11,100,8.59375,inf,0.000161228,1,0.005286393,8,8,0,0.0078125,0.0078125
group_16407,,Putative diacyglycerol O-acyltransferase,149,117,0,11,100,8.59375,inf,0.000161228,1,0.005286393,6,6,0,0.03125,0.03125
ponA1,,Penicillin-binding protein 1A,149,117,0,11,100,8.59375,inf,0.000161228,1,0.005286393,10,10,0,0.001953125,0.001953125
group_2127,,putative protein,149,117,0,11,100,8.59375,inf,0.000161228,1,0.005286393,5,5,0,0.0625,0.0625
group_4001,,hypothetical protein,0,11,149,117,0,91.40625,0,0.000161228,1,0.005286393,9,0,9,0.00390625,0.00390625
group_4002,,hypothetical protein,0,11,149,117,0,91.40625,0,0.000161228,1,0.005286393,9,0,9,0.00390625,0.00390625
group_4056,,hypothetical protein,0,11,149,117,0,91.40625,0,0.000161228,1,0.005286393,7,0,7,0.015625,0.015625
group_4057,,hypothetical protein,0,11,149,117,0,91.40625,0,0.000161228,1,0.005286393,7,0,7,0.015625,0.015625
group_4113,,hypothetical protein,0,11,149,117,0,91.40625,0,0.000161228,1,0.005286393,5,0,5,0.0625,0.0625
group_4118,,hypothetical protein,0,11,149,117,0,91.40625,0,0.000161228,1,0.005286393,5,0,5,0.0625,0.0625
group_4171,,Putative diacyglycerol O-acyltransferase,0,11,149,117,0,91.40625,0,0.000161228,1,0.005286393,6,0,6,0.03125,0.03125
group_5059,,hypothetical protein,0,11,149,117,0,91.40625,0,0.000161228,1,0.005286393,7,0,7,0.015625,0.015625
group_827,,hypothetical protein,33,8,116,120,22.14765101,93.75,4.267241379,0.000165026,1,0.005398217,9,4,7,0.1796875,1
group_3052,,hypothetical protein,49,71,100,57,32.88590604,44.53125,0.393380282,0.000168627,1,0.005490242,12,9,6,0.145996094,1
group_3880,,hypothetical protein,49,71,100,57,32.88590604,44.53125,0.393380282,0.000168627,1,0.005490242,12,9,6,0.145996094,1
group_13754,,hypothetical protein,84,43,65,85,56.37583893,66.40625,2.554561717,0.000173665,1,0.005641067,10,4,8,0.109375,0.75390625
cysE,,Serine acetyltransferase,61,82,88,46,40.93959732,35.9375,0.388858093,0.000175026,1,0.005645798,12,8,6,0.387695313,1
group_13265,,hypothetical protein,61,82,88,46,40.93959732,35.9375,0.388858093,0.000175026,1,0.005645798,12,9,5,0.145996094,0.774414063
group_1652,,hypothetical protein,61,82,88,46,40.93959732,35.9375,0.388858093,0.000175026,1,0.005645798,12,9,5,0.145996094,0.774414063
group_4011,,hypothetical protein,1,14,148,114,0.67114094,89.0625,0.055019305,0.000185592,1,0.005945342,7,1,6,0.125,0.125
group_405,,hypothetical protein,1,14,148,114,0.67114094,89.0625,0.055019305,0.000185592,1,0.005945342,7,1,7,0.015625,0.125
group_937,,hypothetical protein,1,14,148,114,0.67114094,89.0625,0.055019305,0.000185592,1,0.005945342,6,1,6,0.03125,0.21875
group_11342,,DegV domain-containing protein,63,83,86,45,42.28187919,35.15625,0.397170076,0.000188391,1,0.006021168,10,7,5,0.34375,1
group_545,,hypothetical protein,20,2,129,126,13.42281879,98.4375,9.76744186,0.000202113,1,0.006444962,4,3,2,0.625,1
lppA_2,,Putative lipoprotein LppA,122,123,27,5,81.87919463,3.90625,0.183679615,0.000233769,1,0.007437377,5,4,3,0.375,1
group_748,,hypothetical protein,68,31,81,97,45.63758389,75.78125,2.626841896,0.00025213,1,0.008003275,12,7,6,0.774414063,1
group_3684,,hypothetical protein,143,105,6,23,95.97315436,17.96875,5.220634921,0.0002574,1,0.008133492,11,9,3,0.065429687,0.2265625
group_4286,,hypothetical protein,6,23,143,105,4.026845638,82.03125,0.191547583,0.0002574,1,0.008133492,11,3,9,0.065429687,0.2265625
group_828,,hypothetical protein,13,0,136,128,8.724832215,100,inf,0.000276159,1,0.0087065,3,3,0,0.25,0.25
group_3838,,hypothetical protein,98,109,51,19,65.77181208,14.84375,0.33495233,0.000276962,1,0.008710734,8,7,2,0.0703125,0.2890625
esxN_1,,ESAT-6-like protein EsxN,62,82,87,46,41.61073826,35.9375,0.399775722,0.000281294,1,0.008710734,12,9,4,0.145996094,0.387695313
group_12369,,hypothetical protein,62,82,87,46,41.61073826,35.9375,0.399775722,0.000281294,1,0.008710734,12,9,4,0.145996094,0.387695313
group_12418,,hypothetical protein,62,82,87,46,41.61073826,35.9375,0.399775722,0.000281294,1,0.008710734,12,9,5,0.145996094,0.774414063
mmpL9_2,,putative transport protein MmpL9,62,82,87,46,41.61073826,35.9375,0.399775722,0.000281294,1,0.008710734,12,9,4,0.145996094,0.387695313
cysK1,,O-acetylserine sulfhydrylase,62,82,87,46,41.61073826,35.9375,0.399775722,0.000281294,1,0.008710734,12,9,5,0.145996094,0.774414063
group_15436,,hypothetical protein,62,82,87,46,41.61073826,35.9375,0.399775722,0.000281294,1,0.008710734,12,9,5,0.145996094,0.774414063
stp,,Multidrug resistance protein Stp,62,82,87,46,41.61073826,35.9375,0.399775722,0.000281294,1,0.008710734,12,9,5,0.145996094,0.774414063
lppP,,Putative lipoprotein LppP,60,80,89,48,40.26845638,37.5,0.404494382,0.000288526,1,0.008914888,12,9,5,0.145996094,0.774414063
group_10,,hypothetical protein,2,15,147,113,1.342281879,88.28125,0.102494331,0.000299579,1,0.009173007,10,1,9,0.021484375,0.021484375
group_12291,,putative protein,2,15,147,113,1.342281879,88.28125,0.102494331,0.000299579,1,0.009173007,10,1,10,0.001953125,0.021484375
group_241,,hypothetical protein,2,15,147,113,1.342281879,88.28125,0.102494331,0.000299579,1,0.009173007,7,1,7,0.015625,0.125
group_838,,hypothetical protein,2,15,147,113,1.342281879,88.28125,0.102494331,0.000299579,1,0.009173007,9,1,8,0.0390625,0.0390625
group_480,,hypothetical protein,120,77,29,51,80.53691275,39.84375,2.740707568,0.000300172,1,0.009173007,10,7,4,0.34375,0.75390625
group_4161,,hypothetical protein,19,39,130,89,12.75167785,69.53125,0.333530572,0.000354172,1,0.010725049,13,7,8,0.581054688,1
group_929,,hypothetical protein,64,29,85,99,42.95302013,77.34375,2.570385396,0.000363612,1,0.010725049,11,5,9,0.065429687,1
group_1566,,ISL3 family transposase IS1557,149,118,0,10,100,7.8125,inf,0.000364813,1,0.010725049,8,8,0,0.0078125,0.0078125
dxs_1,,1-deoxy-D-xylulose-5-phosphate synthase,149,118,0,10,100,7.8125,inf,0.000364813,1,0.010725049,7,7,0,0.015625,0.015625
group_1078,,hypothetical protein,0,10,149,118,0,92.1875,0,0.000364813,1,0.010725049,8,0,8,0.0078125,0.0078125
group_11826,,hypothetical protein,0,10,149,118,0,92.1875,0,0.000364813,1,0.010725049,5,0,5,0.0625,0.0625
group_1230,,hypothetical protein,0,10,149,118,0,92.1875,0,0.000364813,1,0.010725049,8,0,8,0.0078125,0.0078125
group_2158,,hypothetical protein,0,10,149,118,0,92.1875,0,0.000364813,1,0.010725049,8,0,8,0.0078125,0.0078125
group_235,pks1_3,hypothetical protein,0,10,149,118,0,92.1875,0,0.000364813,1,0.010725049,7,0,7,0.015625,0.015625
group_3033,,hypothetical protein,0,10,149,118,0,92.1875,0,0.000364813,1,0.010725049,5,0,5,0.0625,0.0625
group_3125,,hypothetical protein,0,10,149,118,0,92.1875,0,0.000364813,1,0.010725049,3,0,3,0.25,0.25
group_390,,hypothetical protein,0,10,149,118,0,92.1875,0,0.000364813,1,0.010725049,7,0,7,0.015625,0.015625
group_4103,,hypothetical protein,0,10,149,118,0,92.1875,0,0.000364813,1,0.010725049,5,0,5,0.0625,0.0625
group_4104,,hypothetical protein,0,10,149,118,0,92.1875,0,0.000364813,1,0.010725049,5,0,5,0.0625,0.0625
group_4107,,hypothetical protein,0,10,149,118,0,92.1875,0,0.000364813,1,0.010725049,4,0,4,0.125,0.125
group_5506,,hypothetical protein,0,10,149,118,0,92.1875,0,0.000364813,1,0.010725049,6,0,6,0.03125,0.03125
group_600,,hypothetical protein,0,10,149,118,0,92.1875,0,0.000364813,1,0.010725049,5,0,5,0.0625,0.0625
group_835,,hypothetical protein,0,10,149,118,0,92.1875,0,0.000364813,1,0.010725049,5,0,5,0.0625,0.0625
esxJ_3,,ESAT-6-like protein EsxJ,1,13,148,115,0.67114094,89.84375,0.05977131,0.000385078,1,0.011273231,7,1,7,0.015625,0.125
group_2172,,hypothetical protein,1,13,148,115,0.67114094,89.84375,0.05977131,0.000385078,1,0.011273231,7,1,7,0.015625,0.125
group_597,,hypothetical protein,7,23,142,105,4.697986577,82.03125,0.225045928,0.000418955,1,0.012239277,7,1,7,0.015625,0.125
group_13143,,hypothetical protein,104,112,45,16,69.79865772,12.5,0.33015873,0.000437843,1,0.012737671,7,7,1,0.015625,0.125
group_14572,,hypothetical protein,104,112,45,16,69.79865772,12.5,0.33015873,0.000437843,1,0.012737671,7,7,1,0.015625,0.125
mmpL9_1,,putative transport protein MmpL9,62,81,87,47,41.61073826,36.71875,0.413509295,0.000450621,1,0.013054901,12,9,4,0.145996094,0.387695313
group_16607,,hypothetical protein,87,47,62,81,58.38926174,63.28125,2.418325326,0.000450621,1,0.013054901,12,4,9,0.145996094,0.387695313
group_681,,hypothetical protein,35,56,114,72,23.48993289,56.25,0.394736842,0.000498732,1,0.014418741,10,2,10,0.001953125,0.109375
group_3987,,hypothetical protein,36,57,113,71,24.16107383,55.46875,0.39683279,0.000534982,1,0.015434733,11,9,4,0.065429687,0.548828125
hutI_2,,Imidazolonepropionase,137,128,12,0,91.94630872,0,0,0.000545046,1,0.015628022,2,0,2,0.5,0.5
group_3027,,hypothetical protein,137,128,12,0,91.94630872,0,0,0.000545046,1,0.015628022,2,0,2,0.5,0.5
group_932,,hypothetical protein,12,0,137,128,8.053691275,100,inf,0.000545046,1,0.015628022,1,1,0,1,1
group_272,,hypothetical protein,145,110,4,18,97.31543624,14.0625,5.931818182,0.000566821,1,0.016218997,9,8,3,0.0390625,0.5078125
group_2146,,hypothetical protein,16,1,133,127,10.73825503,99.21875,15.27819549,0.000575959,1,0.016446691,3,2,1,1,1
group_11258,,hypothetical protein,47,67,102,61,31.54362416,47.65625,0.419520047,0.000587398,1,0.016739044,11,8,7,0.2265625,0.548828125
group_368,,hypothetical protein,15,1,134,127,10.06711409,99.21875,14.21641791,0.000595669,1,0.016871242,2,1,1,1,1
group_656,,hypothetical protein,15,1,134,127,10.06711409,99.21875,14.21641791,0.000595669,1,0.016871242,3,2,1,1,1
group_673,,hypothetical protein,15,1,134,127,10.06711409,99.21875,14.21641791,0.000595669,1,0.016871242,4,4,1,0.125,0.625
group_12640,,hypothetical protein,146,112,3,16,97.98657718,12.5,6.952380952,0.000602683,1,0.01696643,8,6,3,0.2890625,0.7265625
group_2149,,hypothetical protein,3,16,146,112,2.013422819,87.5,0.143835616,0.000602683,1,0.01696643,10,3,8,0.109375,0.34375
group_3114,,hypothetical protein,3,16,146,112,2.013422819,87.5,0.143835616,0.000602683,1,0.01696643,8,1,7,0.0703125,0.0703125
group_10342,lppP,Putative lipoprotein LppP,87,48,62,80,58.38926174,62.5,2.338709677,0.000711358,1,0.019785986,12,5,9,0.145996094,0.774414063
group_12370,,hypothetical protein,87,48,62,80,58.38926174,62.5,2.338709677,0.000711358,1,0.019785986,12,4,9,0.145996094,0.387695313
group_12848,,hypothetical protein,87,48,62,80,58.38926174,62.5,2.338709677,0.000711358,1,0.019785986,12,4,9,0.145996094,0.387695313
group_13364,dnaG,DNA primase,87,48,62,80,58.38926174,62.5,2.338709677,0.000711358,1,0.019785986,12,4,9,0.145996094,0.387695313
group_15437,,hypothetical protein,87,48,62,80,58.38926174,62.5,2.338709677,0.000711358,1,0.019785986,12,5,9,0.145996094,0.774414063
group_15728,dgt,Deoxyguanosinetriphosphate triphosphohydrolase-like protein,87,48,62,80,58.38926174,62.5,2.338709677,0.000711358,1,0.019785986,12,4,9,0.145996094,0.387695313
lgrD,,Linear gramicidin synthase subunit D,148,116,1,12,99.32885906,9.375,15.31034483,0.000794516,1,0.021890908,5,5,1,0.0625,0.375
group_149,,hypothetical protein,1,12,148,116,0.67114094,90.625,0.065315315,0.000794516,1,0.021890908,6,1,5,0.21875,0.21875
group_649,,hypothetical protein,1,12,148,116,0.67114094,90.625,0.065315315,0.000794516,1,0.021890908,8,1,8,0.0078125,0.0703125
group_1243,,Low molecular weight antigen MTB12,149,119,0,9,100,7.03125,inf,0.000821596,1,0.021890908,4,4,0,0.125,0.125
group_2015,,hypothetical protein,149,119,0,9,100,7.03125,inf,0.000821596,1,0.021890908,5,5,0,0.0625,0.0625
group_11925,,hypothetical protein,0,9,149,119,0,92.96875,0,0.000821596,1,0.021890908,5,0,5,0.0625,0.0625
group_1298,dnaJ1,Chaperone protein DnaJ 1,0,9,149,119,0,92.96875,0,0.000821596,1,0.021890908,5,0,5,0.0625,0.0625
group_1359,,hypothetical protein,0,9,149,119,0,92.96875,0,0.000821596,1,0.021890908,5,0,5,0.0625,0.0625
group_13698,,Putative diacyglycerol O-acyltransferase,0,9,149,119,0,92.96875,0,0.000821596,1,0.021890908,7,0,7,0.015625,0.015625
group_1563,,ISL3 family transposase IS1557,0,9,149,119,0,92.96875,0,0.000821596,1,0.021890908,8,0,8,0.0078125,0.0078125
group_1637,,hypothetical protein,0,9,149,119,0,92.96875,0,0.000821596,1,0.021890908,7,0,7,0.015625,0.015625
group_2014,fbiD,Phosphoenolpyruvate guanylyltransferase,0,9,149,119,0,92.96875,0,0.000821596,1,0.021890908,7,0,7,0.015625,0.015625
group_2017,,hypothetical protein,0,9,149,119,0,92.96875,0,0.000821596,1,0.021890908,5,0,5,0.0625,0.0625
group_378,,putative protein,0,9,149,119,0,92.96875,0,0.000821596,1,0.021890908,7,0,7,0.015625,0.015625
group_4305,,hypothetical protein,0,9,149,119,0,92.96875,0,0.000821596,1,0.021890908,7,0,7,0.015625,0.015625
group_504,menE_5,Long-chain-fatty-acid--CoA/3-oxocholest-4-en-26-oate--CoA ligase,0,9,149,119,0,92.96875,0,0.000821596,1,0.021890908,7,0,7,0.015625,0.015625
group_5043,,hypothetical protein,0,9,149,119,0,92.96875,0,0.000821596,1,0.021890908,7,0,7,0.015625,0.015625
group_5045,,hypothetical protein,0,9,149,119,0,92.96875,0,0.000821596,1,0.021890908,7,0,7,0.015625,0.015625
group_5140,,hypothetical protein,0,9,149,119,0,92.96875,0,0.000821596,1,0.021890908,8,0,8,0.0078125,0.0078125
group_5141,,hypothetical protein,0,9,149,119,0,92.96875,0,0.000821596,1,0.021890908,8,0,8,0.0078125,0.0078125
group_644,,PPE family protein PPE34,0,9,149,119,0,92.96875,0,0.000821596,1,0.021890908,6,0,6,0.03125,0.03125
group_935,,hypothetical protein,0,9,149,119,0,92.96875,0,0.000821596,1,0.021890908,7,0,7,0.015625,0.015625
group_773,,hypothetical protein,4,17,145,111,2.684563758,86.71875,0.180121704,0.001066541,1,0.028363064,10,4,7,0.34375,0.75390625
group_15347,,hypothetical protein,138,128,11,0,92.61744966,0,0,0.001075131,1,0.028537049,1,0,1,1,1
group_15445,,hypothetical protein,106,112,43,16,71.1409396,12.5,0.352159468,0.001105145,1,0.028986699,7,7,1,0.015625,0.125
mez,,Putative malate oxidoreductase [NAD],62,79,87,49,41.61073826,38.28125,0.442019497,0.001106632,1,0.028986699,12,9,5,0.145996094,0.774414063
group_1089,esxN_1,ESAT-6-like protein EsxN,87,49,62,79,58.38926174,61.71875,2.262343647,0.001106632,1,0.028986699,12,4,9,0.145996094,0.387695313
group_13272,,tRNA-Asn(gtt),87,49,62,79,58.38926174,61.71875,2.262343647,0.001106632,1,0.028986699,12,4,9,0.145996094,0.387695313
group_16394,mez,Putative malate oxidoreductase [NAD],87,49,62,79,58.38926174,61.71875,2.262343647,0.001106632,1,0.028986699,12,5,9,0.145996094,0.774414063
group_16510,stp,Multidrug resistance protein Stp,87,49,62,79,58.38926174,61.71875,2.262343647,0.001106632,1,0.028986699,12,5,9,0.145996094,0.774414063
group_2304,,hypothetical protein,87,49,62,79,58.38926174,61.71875,2.262343647,0.001106632,1,0.028986699,12,4,9,0.145996094,0.387695313
group_14747,,NADH dehydrogenase-like protein,2,14,147,114,1.342281879,89.0625,0.110787172,0.001114976,1,0.028987292,10,1,10,0.001953125,0.021484375
group_3066,,hypothetical protein,2,14,147,114,1.342281879,89.0625,0.110787172,0.001114976,1,0.028987292,10,2,8,0.109375,0.109375
group_3950,,hypothetical protein,2,14,147,114,1.342281879,89.0625,0.110787172,0.001114976,1,0.028987292,9,2,7,0.1796875,0.1796875
group_402,,hypothetical protein,2,14,147,114,1.342281879,89.0625,0.110787172,0.001114976,1,0.028987292,7,1,7,0.015625,0.125
group_1653,,hypothetical protein,88,50,61,78,59.06040268,60.9375,2.250491803,0.001119826,1,0.029005163,12,5,9,0.145996094,0.774414063
group_3608,,hypothetical protein,88,50,61,78,59.06040268,60.9375,2.250491803,0.001119826,1,0.029005163,12,5,9,0.145996094,0.774414063
group_360,,putative PE-PGRS family protein PE_PGRS24,146,113,3,15,97.98657718,11.71875,6.460176991,0.001167665,1,0.030021067,7,6,2,0.125,0.453125
group_896,,IS256 family transposase IS1554,146,113,3,15,97.98657718,11.71875,6.460176991,0.001167665,1,0.030021067,9,7,3,0.1796875,0.5078125
group_4298,,hypothetical protein,3,15,146,113,2.013422819,88.28125,0.154794521,0.001167665,1,0.030021067,8,3,5,0.7265625,0.7265625
group_897,,IS256 family transposase IS1554,3,15,146,113,2.013422819,88.28125,0.154794521,0.001167665,1,0.030021067,9,3,7,0.1796875,0.5078125
group_115,,hypothetical protein,127,88,22,40,85.23489933,31.25,2.623966942,0.001372681,1,0.035227102,9,7,3,0.1796875,0.5078125
group_314,,hypothetical protein,55,25,94,103,36.91275168,80.46875,2.410638298,0.001469208,1,0.037634942,12,7,7,0.774414063,0.774414063
group_1162,lppA_2,Putative lipoprotein LppA,27,7,122,121,18.12080537,94.53125,3.825526932,0.001535284,1,0.039255376,6,3,5,0.21875,1
group_15675,,hypothetical protein,148,117,1,11,99.32885906,8.59375,13.91452991,0.001628792,1,0.041192762,7,6,1,0.125,0.125
espK,,ESX-1 secretion-associated protein EspK,148,117,1,11,99.32885906,8.59375,13.91452991,0.001628792,1,0.041192762,6,6,1,0.03125,0.21875
recC,,RecBCD enzyme subunit RecC,148,117,1,11,99.32885906,8.59375,13.91452991,0.001628792,1,0.041192762,10,9,1,0.021484375,0.021484375
group_3103,,hypothetical protein,1,11,148,117,0.67114094,91.40625,0.071867322,0.001628792,1,0.041192762,10,1,10,0.001953125,0.021484375
group_3104,,hypothetical protein,1,11,148,117,0.67114094,91.40625,0.071867322,0.001628792,1,0.041192762,4,1,4,0.125,0.625
group_4185,,hypothetical protein,1,11,148,117,0.67114094,91.40625,0.071867322,0.001628792,1,0.041192762,5,1,4,0.375,0.375
group_97,,hypothetical protein,58,27,91,101,38.9261745,78.90625,2.384208384,0.001651329,1,0.041687072,12,7,8,0.387695313,0.774414063
group_11906,cysE,Serine acetyltransferase,87,50,62,78,58.38926174,60.9375,2.189032258,0.001696582,1,0.042368944,12,5,9,0.145996094,0.774414063
group_12419,,hypothetical protein,87,50,62,78,58.38926174,60.9375,2.189032258,0.001696582,1,0.042368944,12,5,9,0.145996094,0.774414063
group_13266,,hypothetical protein,87,50,62,78,58.38926174,60.9375,2.189032258,0.001696582,1,0.042368944,12,5,9,0.145996094,0.774414063
group_13536,mmpL9_1,putative transport protein MmpL9,87,50,62,78,58.38926174,60.9375,2.189032258,0.001696582,1,0.042368944,12,4,9,0.145996094,0.387695313
group_14345,cysK1,O-acetylserine sulfhydrylase,87,50,62,78,58.38926174,60.9375,2.189032258,0.001696582,1,0.042368944,12,5,9,0.145996094,0.774414063
